external,linkonce,time
12000,40000,3228
12000,41000,3261
12000,42000,3309
12000,43000,3314
12000,44000,3407
12000,45000,3410
12000,46000,3468
12000,47000,3528
12000,48000,3516
12000,49000,3525
12000,50000,3694
13000,1000,1948
13000,2000,2074
13000,3000,1801
13000,4000,1807
13000,5000,1879
13000,6000,1884
13000,7000,1976
13000,8000,1971
13000,9000,2002
13000,10000,2045
13000,11000,2105
13000,12000,2246
13000,13000,2368
13000,14000,2380
13000,15000,2428
13000,16000,2455
13000,17000,2496
13000,18000,2564
13000,19000,2600
13000,20000,2650
13000,21000,2601
13000,22000,2686
13000,23000,2714
13000,24000,2746
13000,25000,2851
13000,26000,2899
13000,27000,2974
13000,28000,2981
13000,29000,3041
13000,30000,2962
13000,31000,2961
13000,32000,3031
13000,33000,3077
13000,34000,3117
13000,35000,3134
13000,36000,3195
13000,37000,3242
13000,38000,3255
13000,39000,3358
13000,40000,3405
13000,41000,3471
13000,42000,3479
13000,43000,3506
13000,44000,3561
13000,45000,3626
13000,46000,3631
13000,47000,3702
13000,48000,3799
13000,49000,3929
13000,50000,3868
14000,1000,2076
14000,2000,1876
14000,3000,1911
14000,4000,1952
14000,5000,1996
14000,6000,2046
14000,7000,2056
14000,8000,2108
14000,9000,2138
14000,10000,2185
14000,11000,2235
14000,12000,2325
14000,13000,2364
14000,14000,2422
14000,15000,2452
14000,16000,2496
14000,17000,2589
14000,18000,2559
14000,19000,2591
14000,20000,2631
14000,21000,2663
14000,22000,2718
14000,23000,2715
14000,24000,2787
14000,25000,2875
14000,26000,2925
14000,27000,2931
14000,28000,3000
14000,29000,2979
14000,30000,3123
14000,31000,3138
14000,32000,3186
14000,33000,3207
14000,34000,3247
14000,35000,3295
14000,36000,3333
14000,37000,3390
14000,38000,3475
14000,39000,3519
14000,40000,3547
14000,41000,3595
14000,42000,3612
14000,43000,3624
14000,44000,3697
14000,45000,3703
14000,46000,3809
14000,47000,3795
14000,48000,3849
14000,49000,4036
14000,50000,4210
15000,1000,2053
15000,2000,2086
15000,3000,2144
15000,4000,2191
15000,5000,2231
15000,6000,2262
15000,7000,2306
15000,8000,2306
15000,9000,2334
15000,10000,2378
15000,11000,2452
15000,12000,2494
15000,13000,2585
15000,14000,2631
15000,15000,2591
15000,16000,2659
15000,17000,2706
15000,18000,2707
15000,19000,2788
15000,20000,2855
15000,21000,2937
15000,22000,3052
15000,23000,2945
15000,24000,3074
15000,25000,3158
15000,26000,3174
15000,27000,3242
15000,28000,3211
15000,29000,3149
15000,30000,3401
15000,31000,3208
15000,32000,3368
15000,33000,3374
15000,34000,3409
15000,35000,3490
15000,36000,3465
15000,37000,3547
15000,38000,3651
15000,39000,3665
15000,40000,3728
15000,41000,3713
15000,42000,3795
15000,43000,3848
15000,44000,3901
15000,45000,3857
15000,46000,3945
15000,47000,3925
15000,48000,4020
15000,49000,4026
15000,50000,4246
16000,1000,2155
16000,2000,2176
16000,3000,2214
16000,4000,2266
16000,5000,2368
16000,6000,2343
16000,7000,2405
16000,8000,2453
16000,9000,2489
16000,10000,2554
16000,11000,2538
16000,12000,2622
16000,13000,2654
16000,14000,2677
16000,15000,2753
16000,16000,2808
16000,17000,2812
16000,18000,2874
16000,19000,2937
16000,20000,2923
16000,21000,2965
16000,22000,3013
16000,23000,3042
16000,24000,3127
16000,25000,3179
16000,26000,3389
16000,27000,3435
16000,28000,3442
16000,29000,3475
16000,30000,3405
16000,31000,3495
16000,32000,3495
16000,33000,3502
16000,34000,3583
16000,35000,3587
16000,36000,3639
16000,37000,3690
16000,38000,3743
16000,39000,3807
16000,40000,3901
16000,41000,3906
16000,42000,3982
16000,43000,4012
16000,44000,3982
16000,45000,4008
16000,46000,4574
16000,47000,4125
16000,48000,4405
16000,49000,4217
16000,50000,4329
17000,1000,2264
17000,2000,2295
17000,3000,2341
17000,4000,2394
17000,5000,2406
17000,6000,2472
17000,7000,2601
17000,8000,2627
17000,9000,2743
17000,10000,2772
17000,11000,2818
17000,12000,2831
17000,13000,2923
17000,14000,2930
17000,15000,3024
17000,16000,3067
17000,17000,3066
17000,18000,3076
17000,19000,3032
17000,20000,3055
17000,21000,3164
17000,22000,3169
17000,23000,3226
17000,24000,3234
17000,25000,3315
17000,26000,3348
17000,27000,3473
17000,28000,3485
17000,29000,3547
17000,30000,3594
17000,31000,3623
17000,32000,3675
17000,33000,3691
17000,34000,3786
17000,35000,3787
17000,36000,3859
17000,37000,3916
17000,38000,3913
17000,39000,3999
17000,40000,3995
17000,41000,4037
17000,42000,4073
17000,43000,4066
17000,44000,4153
17000,45000,4216
17000,46000,4197
17000,47000,4264
17000,48000,4335
17000,49000,4342
17000,50000,4466
18000,1000,2386
18000,2000,2423
18000,3000,2456
18000,4000,2509
18000,5000,2551
18000,6000,2583
18000,7000,2625
18000,8000,2715
18000,9000,2752
18000,10000,2802
18000,11000,2785
18000,12000,2827
18000,13000,2899
18000,14000,2983
18000,15000,2983
18000,16000,3051
