external,linkonce,time
20000,23000,909
20000,24000,1059
20000,25000,919
20000,26000,911
20000,27000,951
20000,28000,919
20000,29000,945
20000,30000,919
20000,31000,941
20000,32000,931
20000,33000,985
20000,34000,1032
20000,35000,1005
20000,36000,1000
20000,37000,998
20000,38000,966
20000,39000,955
20000,40000,1037
20000,41000,955
20000,42000,1067
20000,43000,1027
20000,44000,1045
20000,45000,975
20000,46000,982
20000,47000,1012
20000,48000,1007
20000,49000,991
20000,50000,1023
21000,1000,943
21000,2000,917
21000,3000,936
21000,4000,941
21000,5000,917
21000,6000,936
21000,7000,998
21000,8000,962
21000,9000,953
21000,10000,1002
21000,11000,1008
21000,12000,987
21000,13000,985
21000,14000,953
21000,15000,947
21000,16000,946
21000,17000,937
21000,18000,1013
21000,19000,1000
21000,20000,941
21000,21000,955
21000,22000,990
21000,23000,954
21000,24000,969
21000,25000,961
21000,26000,954
21000,27000,955
21000,28000,955
21000,29000,952
21000,30000,957
21000,31000,1014
21000,32000,1015
21000,33000,972
21000,34000,1019
21000,35000,1042
21000,36000,1103
21000,37000,1018
21000,38000,1109
21000,39000,1053
21000,40000,1033
21000,41000,1026
21000,42000,1007
21000,43000,998
21000,44000,1026
21000,45000,1041
21000,46000,1030
21000,47000,1047
21000,48000,1035
21000,49000,1078
21000,50000,1030
22000,1000,914
22000,2000,943
22000,3000,966
22000,4000,941
22000,5000,951
22000,6000,1046
22000,7000,957
22000,8000,1045
22000,9000,981
22000,10000,959
22000,11000,1025
22000,12000,1002
22000,13000,984
22000,14000,1035
22000,15000,971
22000,16000,1009
22000,17000,989
22000,18000,1019
22000,19000,998
22000,20000,1017
22000,21000,993
22000,22000,1048
22000,23000,1042
22000,24000,1033
22000,25000,993
22000,26000,1024
22000,27000,1038
22000,28000,1027
22000,29000,1068
22000,30000,1007
22000,31000,1017
22000,32000,1084
22000,33000,1077
22000,34000,1086
22000,35000,1018
22000,36000,1023
22000,37000,1026
22000,38000,1042
22000,39000,1022
22000,40000,1039
22000,41000,1063
22000,42000,1033
22000,43000,1043
22000,44000,1050
22000,45000,1192
22000,46000,1106
22000,47000,1212
22000,48000,1097
22000,49000,1083
22000,50000,1074
23000,1000,998
23000,2000,1011
23000,3000,1049
23000,4000,1009
23000,5000,991
23000,6000,1061
23000,7000,1062
23000,8000,1027
23000,9000,1049
23000,10000,1005
23000,11000,1000
23000,12000,1017
23000,13000,1019
23000,14000,1068
23000,15000,1057
23000,16000,1009
23000,17000,1021
23000,18000,1021
23000,19000,1107
23000,20000,1054
23000,21000,1078
23000,22000,1033
23000,23000,1030
23000,24000,1055
23000,25000,1055
23000,26000,1057
23000,27000,1031
23000,28000,1079
23000,29000,1048
23000,30000,1165
23000,31000,1084
23000,32000,1144
23000,33000,1142
23000,34000,1079
23000,35000,1074
23000,36000,1071
23000,37000,1065
23000,38000,1133
23000,39000,1069
23000,40000,1078
23000,41000,1112
23000,42000,1113
23000,43000,1096
23000,44000,1108
23000,45000,1097
23000,46000,1166
23000,47000,1154
23000,48000,1178
23000,49000,1082
23000,50000,1201
24000,1000,1083
24000,2000,1105
24000,3000,1059
24000,4000,1072
24000,5000,1040
24000,6000,1150
24000,7000,1137
24000,8000,1043
24000,9000,1106
24000,10000,1177
24000,11000,1040
24000,12000,1091
24000,13000,1080
24000,14000,1134
24000,15000,1115
24000,16000,1094
24000,17000,1068
24000,18000,1088
24000,19000,1132
24000,20000,1091
24000,21000,1117
24000,22000,1091
24000,23000,1119
24000,24000,1089
24000,25000,1133
24000,26000,1089
24000,27000,1168
24000,28000,1134
24000,29000,1133
24000,30000,1197
24000,31000,1164
24000,32000,1087
24000,33000,1139
24000,34000,1114
24000,35000,1122
24000,36000,1126
24000,37000,1113
24000,38000,1120
24000,39000,1119
24000,40000,1162
24000,41000,1127
24000,42000,1159
24000,43000,1173
24000,44000,1185
24000,45000,1204
24000,46000,1157
24000,47000,1140
24000,48000,1225
24000,49000,1230
24000,50000,1174
25000,1000,1133
25000,2000,1075
25000,3000,1090
25000,4000,1152
25000,5000,1185
25000,6000,1073
25000,7000,1211
25000,8000,1139
25000,9000,1114
25000,10000,1151
25000,11000,1171
25000,12000,1085
25000,13000,1150
25000,14000,1205
25000,15000,1099
25000,16000,1132
25000,17000,1140
25000,18000,1158
25000,19000,1128
25000,20000,1140
25000,21000,1115
25000,22000,1157
25000,23000,1186
25000,24000,1145
25000,25000,1167
25000,26000,1129
25000,27000,1120
25000,28000,1198
25000,29000,1168
25000,30000,1162
25000,31000,1156
25000,32000,1175
25000,33000,1192
25000,34000,1139
25000,35000,1129
25000,36000,1174
25000,37000,1143
25000,38000,1172
25000,39000,1163
25000,40000,1177
25000,41000,1154
25000,42000,1182
25000,43000,1185
25000,44000,1164
25000,45000,1195
25000,46000,1273
25000,47000,1234
25000,48000,1220
25000,49000,1247
25000,50000,1261
26000,1000,1128
26000,2000,1225
26000,3000,1153
26000,4000,1112
26000,5000,1233
26000,6000,1177
26000,7000,1132
26000,8000,1153
26000,9000,1116
26000,10000,1193
26000,11000,1168
26000,12000,1183
26000,13000,1180
26000,14000,1130
26000,15000,1154
26000,16000,1126
26000,17000,1147
26000,18000,1238
26000,19000,1178
26000,20000,1176
26000,21000,1210
26000,22000,1222
26000,23000,1207
26000,24000,1243
26000,25000,1259
26000,26000,1256
26000,27000,1205
26000,28000,1276
26000,29000,1244
26000,30000,1208
26000,31000,1274
26000,32000,1181
26000,33000,1280
26000,34000,1211
26000,35000,1262
26000,36000,1174
26000,37000,1210
26000,38000,1188
26000,39000,1209
26000,40000,1289
26000,41000,1187
26000,42000,1242
26000,43000,1259
26000,44000,1307
26000,45000,1295
26000,46000,1271
26000,47000,1390
26000,48000,1317
26000,49000,1234
26000,50000,1277
27000,1000,1212
27000,2000,1186
27000,3000,1185
27000,4000,1241
27000,5000,1256
27000,6000,1146
27000,7000,1192
27000,8000,1206
27000,9000,1169
27000,10000,1150
27000,11000,1196
27000,12000,1180
27000,13000,1215
27000,14000,1191
27000,15000,1157
27000,16000,1201
27000,17000,1208
27000,18000,1190
27000,19000,1255
27000,20000,1245
27000,21000,1251
27000,22000,1308
27000,23000,1281
27000,24000,1297
27000,25000,1287
27000,26000,1351
27000,27000,1328
27000,28000,1212
27000,29000,1359
27000,30000,1249
27000,31000,1269
27000,32000,1214
27000,33000,1230
27000,34000,1223
27000,35000,1240
27000,36000,1258
27000,37000,1241
27000,38000,1291
27000,39000,1262
27000,40000,1315
27000,41000,1296
27000,42000,1334
27000,43000,1416
27000,44000,1264
27000,45000,1331
27000,46000,1390
27000,47000,1438
27000,48000,1348
27000,49000,1381
27000,50000,1319
28000,1000,1178
28000,2000,1252
28000,3000,1215
28000,4000,1232
28000,5000,1244
28000,6000,1277
28000,7000,1208
28000,8000,1276
28000,9000,1226
28000,10000,1229
28000,11000,1272
28000,12000,1283
28000,13000,1224
28000,14000,1237
28000,15000,1271
28000,16000,1272
28000,17000,1243
28000,18000,1270
28000,19000,1387
28000,20000,1354
28000,21000,1298
28000,22000,1231
28000,23000,1317
28000,24000,1280
28000,25000,1322
28000,26000,1277
28000,27000,1244
28000,28000,1295
28000,29000,1254
28000,30000,1268
28000,31000,1259
28000,32000,1293
28000,33000,1278
28000,34000,1264
28000,35000,1290
28000,36000,1313
28000,37000,1316
28000,38000,1346
28000,39000,1311
28000,40000,1386
28000,41000,1442
28000,42000,1291
28000,43000,1362
28000,44000,1363
28000,45000,1355
28000,46000,1412
28000,47000,1397
28000,48000,1333
28000,49000,1356
28000,50000,1356
29000,1000,1330
29000,2000,1264
29000,3000,1310
